# Verified upstream URL for every license file the notices document links.
# Generated by tools/verify-license-urls.sh. Each URL was fetched and its
# sha256 matched against the vendored copy, so no entry is a dead or wrong link.
# Covers the shipped set only: build- and test-only dependencies are excluded.
# module	version	license-path	url
dario.cat/mergo	v1.0.1	LICENSE	https://github.com/imdario/mergo/blob/v1.0.1/LICENSE
github.com/MakeNowJust/heredoc	v1.0.0	LICENSE	https://github.com/makenowjust/heredoc/blob/v1.0.0/LICENSE
github.com/Masterminds/goutils	v1.1.1	LICENSE.txt	https://github.com/Masterminds/goutils/blob/v1.1.1/LICENSE.txt
github.com/Masterminds/semver/v3	v3.5.0	LICENSE.txt	https://github.com/Masterminds/semver/blob/v3.5.0/LICENSE.txt
github.com/Masterminds/sprig/v3	v3.3.0	LICENSE.txt	https://github.com/Masterminds/sprig/blob/v3.3.0/LICENSE.txt
github.com/Mellanox/maintenance-operator/api	v0.3.0	LICENSE	https://github.com/Mellanox/maintenance-operator/blob/api/v0.3.0/LICENSE
github.com/NVIDIA/go-nvlib	v0.12.0	LICENSE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/LICENSE
github.com/NVIDIA/go-nvlib	v0.12.0	NOTICE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/NOTICE
github.com/NVIDIA/k8s-kata-manager	v0.2.3	LICENSE	https://github.com/NVIDIA/k8s-kata-manager/blob/v0.2.3/LICENSE
github.com/NVIDIA/k8s-operator-libs	v0.0.0-20260629200812-d720f2557494	LICENSE	https://github.com/NVIDIA/k8s-operator-libs/blob/d720f2557494/LICENSE
github.com/NVIDIA/nvidia-container-toolkit	v1.20.0	LICENSE	https://github.com/NVIDIA/nvidia-container-toolkit/blob/v1.20.0/LICENSE
github.com/beorn7/perks	v1.0.1	LICENSE	https://github.com/beorn7/perks/blob/v1.0.1/LICENSE
github.com/blang/semver/v4	v4.0.0	LICENSE	https://github.com/blang/semver/blob/v4.0.0/LICENSE
github.com/cespare/xxhash/v2	v2.3.0	LICENSE.txt	https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt
github.com/chai2010/gettext-go	v1.0.2	LICENSE	https://github.com/chai2010/gettext-go/blob/v1.0.2/LICENSE
github.com/cyphar/filepath-securejoin	v0.7.0	COPYING.md	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/COPYING.md
github.com/cyphar/filepath-securejoin	v0.7.0	LICENSE.BSD	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/LICENSE.BSD
github.com/cyphar/filepath-securejoin	v0.7.0	LICENSE.MPL-2.0	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/LICENSE.MPL-2.0
github.com/davecgh/go-spew	v1.1.2-0.20180830191138-d8f796af33cc	LICENSE	https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE
github.com/docker/libtrust	v0.0.0-20160708172513-aabc10ec26b7	LICENSE	https://github.com/docker-archive-public/docker.libtrust/blob/aabc10ec26b7/LICENSE
github.com/emicklei/go-restful/v3	v3.13.0	LICENSE	https://github.com/emicklei/go-restful/blob/v3.13.0/LICENSE
github.com/evanphx/json-patch/v5	v5.9.11	LICENSE	https://github.com/evanphx/json-patch/blob/v5.9.11/LICENSE
github.com/exponent-io/jsonpath	v0.0.0-20210407135951-1de76d718b3f	LICENSE	https://github.com/exponent-io/jsonpath/blob/1de76d718b3f/LICENSE
github.com/fsnotify/fsnotify	v1.9.0	LICENSE	https://github.com/fsnotify/fsnotify/blob/v1.9.0/LICENSE
github.com/fxamacker/cbor/v2	v2.9.2	LICENSE	https://github.com/fxamacker/cbor/blob/v2.9.2/LICENSE
github.com/go-errors/errors	v1.5.1	LICENSE.MIT	https://github.com/go-errors/errors/blob/v1.5.1/LICENSE.MIT
github.com/go-logr/logr	v1.4.4	LICENSE	https://github.com/go-logr/logr/blob/v1.4.4/LICENSE
github.com/go-logr/zapr	v1.3.0	LICENSE	https://github.com/go-logr/zapr/blob/v1.3.0/LICENSE
github.com/go-openapi/jsonpointer	v0.22.4	LICENSE	https://github.com/go-openapi/jsonpointer/blob/v0.22.4/LICENSE
github.com/go-openapi/jsonpointer	v0.22.4	NOTICE	https://github.com/go-openapi/jsonpointer/blob/v0.22.4/NOTICE
github.com/go-openapi/jsonreference	v0.21.4	LICENSE	https://github.com/go-openapi/jsonreference/blob/v0.21.4/LICENSE
github.com/go-openapi/jsonreference	v0.21.4	NOTICE	https://github.com/go-openapi/jsonreference/blob/v0.21.4/NOTICE
github.com/go-openapi/swag	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/v0.25.4/LICENSE
