# Verified upstream URL for every license file the notices document links.
# Generated by tools/verify-license-urls.sh. Each URL was fetched and its
# sha256 matched against the vendored copy, so no entry is a dead or wrong link.
# Covers the shipped set only: build- and test-only dependencies are excluded.
# module	version	license-path	url
github.com/go-openapi/swag/cmdutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/cmdutils/v0.25.4/LICENSE
github.com/go-openapi/swag/conv	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/conv/v0.25.4/LICENSE
github.com/go-openapi/swag/fileutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/fileutils/v0.25.4/LICENSE
github.com/go-openapi/swag/jsonname	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/jsonname/v0.25.4/LICENSE
github.com/go-openapi/swag/jsonutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/jsonutils/v0.25.4/LICENSE
github.com/go-openapi/swag/loading	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/loading/v0.25.4/LICENSE
github.com/go-openapi/swag/mangling	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/mangling/v0.25.4/LICENSE
github.com/go-openapi/swag/netutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/netutils/v0.25.4/LICENSE
github.com/go-openapi/swag/stringutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/stringutils/v0.25.4/LICENSE
github.com/go-openapi/swag/typeutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/typeutils/v0.25.4/LICENSE
github.com/go-openapi/swag/yamlutils	v0.25.4	LICENSE	https://github.com/go-openapi/swag/blob/yamlutils/v0.25.4/LICENSE
github.com/google/btree	v1.1.3	LICENSE	https://github.com/google/btree/blob/v1.1.3/LICENSE
github.com/google/gnostic-models	v0.7.1	LICENSE	https://github.com/google/gnostic-models/blob/v0.7.1/LICENSE
github.com/google/uuid	v1.6.0	LICENSE	https://github.com/google/uuid/blob/v1.6.0/LICENSE
github.com/huandu/xstrings	v1.5.0	LICENSE	https://github.com/huandu/xstrings/blob/v1.5.0/LICENSE
github.com/json-iterator/go	v1.1.12	LICENSE	https://github.com/json-iterator/go/blob/v1.1.12/LICENSE
github.com/klauspost/compress	v1.19.1	LICENSE	https://github.com/klauspost/compress/blob/v1.19.1/LICENSE
github.com/klauspost/compress	v1.19.1	internal/snapref/LICENSE	https://github.com/klauspost/compress/blob/v1.19.1/internal/snapref/LICENSE
github.com/klauspost/compress	v1.19.1	zstd/internal/xxhash/LICENSE.txt	https://github.com/klauspost/compress/blob/v1.19.1/zstd/internal/xxhash/LICENSE.txt
github.com/liggitt/tabwriter	v0.0.0-20181228230101-89fcab3d43de	LICENSE	https://github.com/liggitt/tabwriter/blob/89fcab3d43de/LICENSE
github.com/mitchellh/copystructure	v1.2.0	LICENSE	https://github.com/mitchellh/copystructure/blob/v1.2.0/LICENSE
github.com/mitchellh/go-wordwrap	v1.0.1	LICENSE.md	https://github.com/mitchellh/go-wordwrap/blob/v1.0.1/LICENSE.md
github.com/mitchellh/reflectwalk	v1.0.2	LICENSE	https://github.com/mitchellh/reflectwalk/blob/v1.0.2/LICENSE
github.com/moby/term	v0.5.2	LICENSE	https://github.com/moby/term/blob/v0.5.2/LICENSE
github.com/modern-go/concurrent	v0.0.0-20180306012644-bacd9c7ef1dd	LICENSE	https://github.com/modern-go/concurrent/blob/bacd9c7ef1dd/LICENSE
github.com/modern-go/reflect2	v1.0.3-0.20250322232337-35a7c28c31ee	LICENSE	https://github.com/modern-go/reflect2/blob/35a7c28c31ee/LICENSE
github.com/monochromegane/go-gitignore	v0.0.0-20200626010858-205db1a8cc00	LICENSE	https://github.com/monochromegane/go-gitignore/blob/205db1a8cc00/LICENSE
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822	LICENSE	https://github.com/munnerz/goautoneg/blob/a7dc8b61c822/LICENSE
github.com/opencontainers/cgroups	v0.0.7	LICENSE	https://github.com/opencontainers/cgroups/blob/v0.0.7/LICENSE
github.com/opencontainers/go-digest	v1.0.0	LICENSE	https://github.com/opencontainers/go-digest/blob/v1.0.0/LICENSE
github.com/opencontainers/runc	v1.4.3	LICENSE	https://github.com/opencontainers/runc/blob/v1.4.3/LICENSE
github.com/opencontainers/runc	v1.4.3	NOTICE	https://github.com/opencontainers/runc/blob/v1.4.3/NOTICE
github.com/openshift/api	v0.0.0-20260727141720-967cc4c36c9b	LICENSE	https://github.com/openshift/api/blob/967cc4c36c9b/LICENSE
github.com/openshift/client-go	v0.0.0-20260723174158-ae2315de9d73	LICENSE	https://github.com/openshift/client-go/blob/ae2315de9d73/LICENSE
github.com/operator-framework/api	v0.45.0	LICENSE	https://github.com/operator-framework/api/blob/v0.45.0/LICENSE
github.com/peterbourgon/diskv	v2.0.1+incompatible	LICENSE	https://github.com/peterbourgon/diskv/blob/v2.0.1/LICENSE
github.com/pmezard/go-difflib	v1.0.1-0.20181226105442-5d4384ee4fb2	LICENSE	https://github.com/pmezard/go-difflib/blob/5d4384ee4fb2/LICENSE
github.com/prometheus-operator/prometheus-operator/pkg/apis/monitoring	v0.93.1	LICENSE	https://github.com/prometheus-operator/prometheus-operator/blob/pkg/apis/monitoring/v0.93.1/LICENSE
github.com/prometheus/client_golang	v1.24.1	LICENSE	https://github.com/prometheus/client_golang/blob/v1.24.1/LICENSE
github.com/prometheus/client_golang	v1.24.1	NOTICE	https://github.com/prometheus/client_golang/blob/v1.24.1/NOTICE
github.com/prometheus/client_golang	v1.24.1	internal/github.com/golang/gddo/LICENSE	https://github.com/prometheus/client_golang/blob/v1.24.1/internal/github.com/golang/gddo/LICENSE
github.com/prometheus/client_model	v0.6.2	LICENSE	https://github.com/prometheus/client_model/blob/v0.6.2/LICENSE
github.com/prometheus/client_model	v0.6.2	NOTICE	https://github.com/prometheus/client_model/blob/v0.6.2/NOTICE
github.com/prometheus/common	v0.70.1	LICENSE	https://github.com/prometheus/common/blob/v0.70.1/LICENSE
github.com/prometheus/common	v0.70.1	NOTICE	https://github.com/prometheus/common/blob/v0.70.1/NOTICE
github.com/prometheus/procfs	v0.21.1	LICENSE	https://github.com/prometheus/procfs/blob/v0.21.1/LICENSE
github.com/prometheus/procfs	v0.21.1	NOTICE	https://github.com/prometheus/procfs/blob/v0.21.1/NOTICE
github.com/regclient/regclient	v0.11.5	LICENSE	https://github.com/regclient/regclient/blob/v0.11.5/LICENSE
github.com/russross/blackfriday/v2	v2.1.0	LICENSE.txt	https://github.com/russross/blackfriday/blob/v2.1.0/LICENSE.txt
github.com/shopspring/decimal	v1.4.0	LICENSE	https://github.com/shopspring/decimal/blob/v1.4.0/LICENSE
github.com/sirupsen/logrus	v1.10.1	LICENSE	https://github.com/sirupsen/logrus/blob/v1.10.1/LICENSE
github.com/spf13/cast	v1.7.0	LICENSE	https://github.com/spf13/cast/blob/v1.7.0/LICENSE
github.com/spf13/cobra	v1.10.2	LICENSE.txt	https://github.com/spf13/cobra/blob/v1.10.2/LICENSE.txt
github.com/spf13/pflag	v1.0.10	LICENSE	https://github.com/spf13/pflag/blob/v1.0.10/LICENSE
github.com/stretchr/testify	v1.12.0	LICENSE	https://github.com/stretchr/testify/blob/v1.12.0/LICENSE
github.com/ulikunitz/xz	v0.5.15	LICENSE	https://github.com/ulikunitz/xz/blob/v0.5.15/LICENSE
github.com/urfave/cli/v3	v3.10.1	LICENSE	https://github.com/urfave/cli/blob/v3.10.1/LICENSE
github.com/x448/float16	v0.8.4	LICENSE	https://github.com/x448/float16/blob/v0.8.4/LICENSE
github.com/xlab/treeprint	v1.2.0	LICENSE	https://github.com/xlab/treeprint/blob/v1.2.0/LICENSE
go.uber.org/multierr	v1.11.0	LICENSE.txt	https://github.com/uber-go/multierr/blob/v1.11.0/LICENSE.txt
go.uber.org/zap	v1.28.0	LICENSE	https://github.com/uber-go/zap/blob/v1.28.0/LICENSE
go.yaml.in/yaml/v2	v2.4.4	LICENSE	https://github.com/yaml/go-yaml/blob/v2.4.4/LICENSE
go.yaml.in/yaml/v2	v2.4.4	NOTICE	https://github.com/yaml/go-yaml/blob/v2.4.4/NOTICE
go.yaml.in/yaml/v3	v3.0.4	LICENSE	https://github.com/yaml/go-yaml/blob/v3.0.4/LICENSE
go.yaml.in/yaml/v3	v3.0.4	NOTICE	https://github.com/yaml/go-yaml/blob/v3.0.4/NOTICE
golang.org/x/crypto	v0.55.0	LICENSE	https://go.googlesource.com/crypto/+/refs/tags/v0.55.0/LICENSE
golang.org/x/mod	v0.40.0	LICENSE	https://go.googlesource.com/mod/+/refs/tags/v0.40.0/LICENSE
golang.org/x/net	v0.58.0	LICENSE	https://go.googlesource.com/net/+/refs/tags/v0.58.0/LICENSE
golang.org/x/oauth2	v0.36.0	LICENSE	https://go.googlesource.com/oauth2/+/refs/tags/v0.36.0/LICENSE
golang.org/x/sync	v0.22.0	LICENSE	https://go.googlesource.com/sync/+/refs/tags/v0.22.0/LICENSE
golang.org/x/sys	v0.47.0	LICENSE	https://go.googlesource.com/sys/+/refs/tags/v0.47.0/LICENSE
golang.org/x/term	v0.45.0	LICENSE	https://go.googlesource.com/term/+/refs/tags/v0.45.0/LICENSE
golang.org/x/text	v0.41.0	LICENSE	https://go.googlesource.com/text/+/refs/tags/v0.41.0/LICENSE
golang.org/x/time	v0.14.0	LICENSE	https://go.googlesource.com/time/+/refs/tags/v0.14.0/LICENSE
gomodules.xyz/jsonpatch/v2	v2.4.0	LICENSE	https://github.com/gomodules/jsonpatch/blob/v2.4.0/LICENSE
google.golang.org/protobuf	v1.36.12-0.20260120151049-f2248ac996af	LICENSE	https://go.googlesource.com/protobuf/+/f2248ac996af/LICENSE
gopkg.in/evanphx/json-patch.v4	v4.13.0	LICENSE	https://github.com/evanphx/json-patch/blob/v4.13.0/LICENSE
gopkg.in/inf.v0	v0.9.1	LICENSE	https://github.com/go-inf/inf/blob/v0.9.1/LICENSE
gopkg.in/yaml.v3	v3.0.1	LICENSE	https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE
gopkg.in/yaml.v3	v3.0.1	NOTICE	https://github.com/go-yaml/yaml/blob/v3.0.1/NOTICE
k8s.io/api	v0.36.4	LICENSE	https://github.com/kubernetes/api/blob/v0.36.4/LICENSE
k8s.io/apiextensions-apiserver	v0.36.4	LICENSE	https://github.com/kubernetes/apiextensions-apiserver/blob/v0.36.4/LICENSE
k8s.io/apimachinery	v0.36.4	LICENSE	https://github.com/kubernetes/apimachinery/blob/v0.36.4/LICENSE
k8s.io/apimachinery	v0.36.4	third_party/forked/golang/LICENSE	https://github.com/kubernetes/apimachinery/blob/v0.36.4/third_party/forked/golang/LICENSE
k8s.io/cli-runtime	v0.36.0	LICENSE	https://github.com/kubernetes/cli-runtime/blob/v0.36.0/LICENSE
k8s.io/client-go	v0.36.4	LICENSE	https://github.com/kubernetes/client-go/blob/v0.36.4/LICENSE
k8s.io/client-go	v0.36.4	third_party/forked/golang/LICENSE	https://github.com/kubernetes/client-go/blob/v0.36.4/third_party/forked/golang/LICENSE
k8s.io/client-go	v0.36.4	third_party/forked/httpcache/LICENSE	https://github.com/kubernetes/client-go/blob/v0.36.4/third_party/forked/httpcache/LICENSE
k8s.io/component-base	v0.36.4	LICENSE	https://github.com/kubernetes/component-base/blob/v0.36.4/LICENSE
k8s.io/klog/v2	v2.140.0	LICENSE	https://github.com/kubernetes/klog/blob/v2.140.0/LICENSE
k8s.io/kube-openapi	v0.0.0-20260603220949-865597e52e25	LICENSE	https://github.com/kubernetes/kube-openapi/blob/865597e52e25/LICENSE
k8s.io/kube-openapi	v0.0.0-20260603220949-865597e52e25	pkg/internal/third_party/go-json-experiment/json/LICENSE	https://github.com/kubernetes/kube-openapi/blob/865597e52e25/pkg/internal/third_party/go-json-experiment/json/LICENSE
k8s.io/kube-openapi	v0.0.0-20260603220949-865597e52e25	pkg/validation/spec/LICENSE	https://github.com/kubernetes/kube-openapi/blob/865597e52e25/pkg/validation/spec/LICENSE
k8s.io/kubectl	v0.36.0	LICENSE	https://github.com/kubernetes/kubectl/blob/v0.36.0/LICENSE
k8s.io/utils	v0.0.0-20260507154919-ff6756f316d2	LICENSE	https://github.com/kubernetes/utils/blob/ff6756f316d2/LICENSE
k8s.io/utils	v0.0.0-20260507154919-ff6756f316d2	internal/third_party/forked/golang/LICENSE	https://github.com/kubernetes/utils/blob/ff6756f316d2/internal/third_party/forked/golang/LICENSE
k8s.io/utils	v0.0.0-20260507154919-ff6756f316d2	third_party/forked/golang/btree/LICENSE	https://github.com/kubernetes/utils/blob/ff6756f316d2/third_party/forked/golang/btree/LICENSE
sigs.k8s.io/controller-runtime	v0.24.1	LICENSE	https://github.com/kubernetes-sigs/controller-runtime/blob/v0.24.1/LICENSE
sigs.k8s.io/json	v0.0.0-20250730193827-2d320260d730	LICENSE	https://github.com/kubernetes-sigs/json/blob/2d320260d730/LICENSE
sigs.k8s.io/kustomize/api	v0.21.1	LICENSE	https://github.com/kubernetes-sigs/kustomize/blob/api/v0.21.1/LICENSE
sigs.k8s.io/kustomize/kyaml	v0.21.1	LICENSE	https://github.com/kubernetes-sigs/kustomize/blob/kyaml/v0.21.1/LICENSE
sigs.k8s.io/randfill	v1.0.0	LICENSE	https://github.com/kubernetes-sigs/randfill/blob/v1.0.0/LICENSE
sigs.k8s.io/randfill	v1.0.0	NOTICE	https://github.com/kubernetes-sigs/randfill/blob/v1.0.0/NOTICE
sigs.k8s.io/structured-merge-diff/v6	v6.4.0	LICENSE	https://github.com/kubernetes-sigs/structured-merge-diff/blob/v6.4.0/LICENSE
sigs.k8s.io/yaml	v1.6.0	LICENSE	https://github.com/kubernetes-sigs/yaml/blob/v1.6.0/LICENSE
