# Upstream repository for each vendored module.
# Generated by tools/resolve-module-repos.sh from the module proxy Origin,
# the go-import meta tag, and the github.com path shape. Not hand-edited.
# module	repo-url	subdir
cyphar.com/go-pathrs	https://github.com/cyphar/libpathrs	go-pathrs
dario.cat/mergo	https://github.com/imdario/mergo	
github.com/Azure/go-ansiterm	https://github.com/Azure/go-ansiterm	
github.com/MakeNowJust/heredoc	https://github.com/makenowjust/heredoc	
github.com/Masterminds/goutils	https://github.com/Masterminds/goutils	
github.com/Masterminds/semver/v3	https://github.com/Masterminds/semver	
github.com/Masterminds/sprig/v3	https://github.com/Masterminds/sprig	
github.com/Mellanox/maintenance-operator/api	https://github.com/Mellanox/maintenance-operator	api
github.com/NVIDIA/go-nvlib	https://github.com/NVIDIA/go-nvlib	
github.com/NVIDIA/k8s-kata-manager	https://github.com/NVIDIA/k8s-kata-manager	
github.com/NVIDIA/k8s-operator-libs	https://github.com/NVIDIA/k8s-operator-libs	
github.com/NVIDIA/nvidia-container-toolkit	https://github.com/NVIDIA/nvidia-container-toolkit	
github.com/beorn7/perks	https://github.com/beorn7/perks	
github.com/blang/semver/v4	https://github.com/blang/semver	
github.com/cespare/xxhash/v2	https://github.com/cespare/xxhash	
github.com/chai2010/gettext-go	https://github.com/chai2010/gettext-go	
github.com/cyphar/filepath-securejoin	https://github.com/cyphar/filepath-securejoin	
github.com/davecgh/go-spew	https://github.com/davecgh/go-spew	
github.com/docker/libtrust	https://github.com/docker-archive-public/docker.libtrust	
github.com/emicklei/go-restful/v3	https://github.com/emicklei/go-restful	
github.com/evanphx/json-patch	https://github.com/evanphx/json-patch	
github.com/evanphx/json-patch/v5	https://github.com/evanphx/json-patch	
github.com/exponent-io/jsonpath	https://github.com/exponent-io/jsonpath	
github.com/fsnotify/fsnotify	https://github.com/fsnotify/fsnotify	
github.com/fxamacker/cbor/v2	https://github.com/fxamacker/cbor	
github.com/go-errors/errors	https://github.com/go-errors/errors	
github.com/go-logr/logr	https://github.com/go-logr/logr	
github.com/go-logr/zapr	https://github.com/go-logr/zapr	
github.com/go-openapi/jsonpointer	https://github.com/go-openapi/jsonpointer	
github.com/go-openapi/jsonreference	https://github.com/go-openapi/jsonreference	
github.com/go-openapi/swag	https://github.com/go-openapi/swag	
github.com/go-openapi/swag/cmdutils	https://github.com/go-openapi/swag	cmdutils
github.com/go-openapi/swag/conv	https://github.com/go-openapi/swag	conv
github.com/go-openapi/swag/fileutils	https://github.com/go-openapi/swag	fileutils
github.com/go-openapi/swag/jsonname	https://github.com/go-openapi/swag	jsonname
github.com/go-openapi/swag/jsonutils	https://github.com/go-openapi/swag	jsonutils
github.com/go-openapi/swag/loading	https://github.com/go-openapi/swag	loading
github.com/go-openapi/swag/mangling	https://github.com/go-openapi/swag	mangling
github.com/go-openapi/swag/netutils	https://github.com/go-openapi/swag	netutils
github.com/go-openapi/swag/stringutils	https://github.com/go-openapi/swag	stringutils
github.com/go-openapi/swag/typeutils	https://github.com/go-openapi/swag	typeutils
github.com/go-openapi/swag/yamlutils	https://github.com/go-openapi/swag	yamlutils
github.com/go-task/slim-sprig/v3	https://github.com/go-task/slim-sprig	
github.com/google/btree	https://github.com/google/btree	
github.com/google/gnostic-models	https://github.com/google/gnostic-models	
github.com/google/go-cmp	https://github.com/google/go-cmp	
github.com/google/pprof	https://github.com/google/pprof	
github.com/google/uuid	https://github.com/google/uuid	
github.com/huandu/xstrings	https://github.com/huandu/xstrings	
github.com/inconshreveable/mousetrap	https://github.com/inconshreveable/mousetrap	
github.com/json-iterator/go	https://github.com/json-iterator/go	
github.com/klauspost/compress	https://github.com/klauspost/compress	
github.com/liggitt/tabwriter	https://github.com/liggitt/tabwriter	
github.com/mitchellh/copystructure	https://github.com/mitchellh/copystructure	
github.com/mitchellh/go-wordwrap	https://github.com/mitchellh/go-wordwrap	
github.com/mitchellh/reflectwalk	https://github.com/mitchellh/reflectwalk	
github.com/moby/term	https://github.com/moby/term	
github.com/modern-go/concurrent	https://github.com/modern-go/concurrent	
github.com/modern-go/reflect2	https://github.com/modern-go/reflect2	
github.com/monochromegane/go-gitignore	https://github.com/monochromegane/go-gitignore	
github.com/munnerz/goautoneg	https://github.com/munnerz/goautoneg	
github.com/onsi/ginkgo/v2	https://github.com/onsi/ginkgo	
github.com/onsi/gomega	https://github.com/onsi/gomega	
github.com/opencontainers/cgroups	https://github.com/opencontainers/cgroups	
github.com/opencontainers/go-digest	https://github.com/opencontainers/go-digest	
github.com/opencontainers/runc	https://github.com/opencontainers/runc	
